Year,State,Population,Violent.1,Murder.1,LegacyRape.1,Robbery.1,Assault.1,Property.1,Burglary.1,Larceny.1,VehicleTheft.1
1960,Alabama,3266740,186.6,12.4,8.6,27.5,138.1,1035.4,355.9,592.1,87.3
1961,Alabama,3302000,168.5,12.9,7.6,19.1,128.9,985.5,339.3,569.4,76.8
1962,Alabama,3358000,157.3,9.4,6.5,22.5,119.0,1067.0,349.1,634.5,83.4
1963,Alabama,3347000,182.7,10.2,5.7,24.7,142.1,1150.9,376.9,683.4,90.6
1964,Alabama,3407000,213.1,9.3,11.7,29.1,163.0,1358.7,466.6,784.1,108.0
1965,Alabama,3462000,199.8,11.4,10.6,28.7,149.1,1392.7,473.7,812.1,106.9
1966,Alabama,3517000,230.3,10.9,9.7,32.0,177.7,1528.0,527.5,869.6,131.0
1967,Alabama,3540000,238.6,11.7,10.5,33.0,183.5,1612.4,571.4,895.0,146.0
1968,Alabama,3566000,232.4,11.8,11.1,41.0,168.5,1766.6,628.2,967.7,170.7
1969,Alabama,3531000,250.4,13.7,14.0,41.0,181.7,1876.2,667.2,1037.8,171.2
1970,Alabama,3444165,295.7,11.7,18.5,50.3,215.2,2183.8,776.4,1184.0,223.5
1971,Alabama,3479000,311.4,15.1,19.0,57.6,219.7,2187.0,791.8,1173.9,221.2
1972,Alabama,3510000,313.2,14.1,18.8,68.6,211.7,2081.3,789.6,1096.7,195.0
1973,Alabama,3539000,350.1,13.2,21.2,79.4,236.3,2232.2,897.3,1107.8,227.2
1974,Alabama,3577000,372.9,15.0,22.7,99.6,235.6,2627.2,1057.9,1308.7,260.6
1975,Alabama,3614000,392.9,16.0,20.4,123.0,233.5,3079.6,1163.8,1645.5,270.3
1976,Alabama,3665000,388.8,15.1,21.7,96.0,256.0,3419.5,1170.0,1987.2,262.3
1977,Alabama,3690000,414.4,14.2,25.2,96.8,278.3,3298.2,1135.5,1881.9,280.7
1978,Alabama,3742000,419.1,13.3,25.5,99.1,281.2,3519.7,1229.3,1987.9,302.5
1979,Alabama,3769000,413.3,13.2,27.5,109.5,263.1,3830.5,1287.3,2223.2,320.1
1980,Alabama,3861466,448.5,13.2,30.0,132.1,273.2,4485.1,1526.7,2642.2,316.2
1981,Alabama,3916000,470.5,11.9,26.1,126.5,306.1,4428.3,1450.7,2693.3,284.2
1982,Alabama,3943000,447.7,10.6,26.0,112.0,299.1,4185.8,1256.2,2656.4,273.3
1983,Alabama,3959000,416.0,9.2,23.5,98.4,284.9,3685.0,1073.1,2381.4,230.5
1984,Alabama,3990000,431.2,9.4,25.1,96.1,300.6,3470.9,1001.8,2235.5,233.6
1985,Alabama,4021000,457.5,9.8,26.8,105.4,315.5,3484.6,1034.9,2191.2,258.5
1986,Alabama,4053000,558.0,10.1,28.4,111.6,407.9,3730.3,1159.0,2304.4,267.0
1987,Alabama,4083000,559.2,9.3,27.8,112.2,409.9,3892.2,1198.3,2431.1,262.8
1988,Alabama,4127000,558.6,9.9,29.8,117.8,401.2,4003.1,1233.8,2502.6,266.7
1989,Alabama,4118000,590.8,10.2,31.0,133.9,415.7,4037.0,1146.8,2592.8,297.5
1990,Alabama,4040587,708.6,11.6,32.6,143.7,520.7,4206.7,1103.4,2755.4,347.8
1991,Alabama,4089000,844.2,11.5,35.6,152.8,644.4,4521.4,1268.6,2889.5,363.4
1992,Alabama,4136000,871.7,11.0,41.2,164.9,654.6,4396.4,1186.0,2848.2,362.3
1993,Alabama,4187000,780.4,11.6,35.1,159.5,574.3,4098.4,1088.6,2672.0,337.8
1994,Alabama,4219000,683.7,11.9,35.2,171.2,465.3,4219.4,1044.4,2843.1,331.8
1995,Alabama,4253000,632.4,11.2,31.7,185.8,403.7,4215.7,1024.8,2844.3,346.6
1996,Alabama,4273000,565.4,10.0,33.0,167.0,356.0,4254.7,1002.1,2886.7,366.0
1997,Alabama,4319000,564.5,9.9,32.3,160.5,361.8,4325.3,1013.8,2954.8,356.7
1998,Alabama,4352000,512.1,8.1,33.2,130.9,339.9,4085.0,964.3,2779.0,341.7
1999,Alabama,4369862,490.2,7.9,34.6,121.2,326.5,3922.3,884.4,2737.3,300.6
2000,Alabama,4447100,486.2,7.4,33.3,128.2,317.2,4059.7,906.9,2864.8,288.0
2001,Alabama,4468912,438.2,8.5,30.6,125.0,274.1,3876.8,909.4,2685.0,282.4
2002,Alabama,4478896,445.0,6.8,37.2,133.1,268.0,4027.8,950.6,2767.0,310.1
2003,Alabama,4503726,429.2,6.6,36.8,134.1,251.7,4046.4,960.2,2754.1,332.1
2004,Alabama,4525375,427.0,5.6,38.5,133.5,249.4,4029.3,987.0,2732.4,309.9
2005,Alabama,4548327,433.0,8.2,34.4,141.7,248.3,3900.0,955.8,2656.0,289.0
2006,Alabama,4599030,425.2,8.3,35.8,153.6,227.5,3941.0,973.7,2640.8,326.5
2007,Alabama,4627851,448.9,8.9,33.4,159.9,246.7,3977.7,980.6,2689.5,307.7
2008,Alabama,4661900,452.8,7.5,34.7,157.6,253.0,4084.5,1081.3,2714.3,288.9
2009,Alabama,4708708,450.1,6.8,31.9,133.1,278.3,3780.4,1037.3,2507.5,235.5
2010,Alabama,4785401,383.7,5.7,28.3,101.6,248.0,3528.0,887.8,2414.9,225.3
2011,Alabama,4803689,419.8,6.2,28.5,102.1,282.9,3605.4,1064.2,2319.3,222.0
2012,Alabama,4817528,450.3,7.1,26.9,104.2,312.1,3505.5,985.6,2314.9,205.0
2013,Alabama,4833996,431.0,7.2,30.0,96.1,285.2,3347.9,877.3,2252.0,218.5
2014,Alabama,4849377,427.4,5.7,29.6,96.9,283.4,3177.6,819.0,2149.5,209.1
1960,Alaska,226167,104.3,10.2,20.8,28.3,45.1,1544.9,332.1,970.5,242.3
1961,Alaska,234000,88.9,11.5,13.2,12.4,51.7,1540.6,380.8,950.0,209.8
1962,Alaska,246000,91.5,4.5,18.7,13.8,54.5,1564.6,351.6,985.4,227.6
1963,Alaska,248000,109.7,6.5,14.9,22.2,66.1,1952.8,381.5,1213.7,357.7
1964,Alaska,250000,150.0,10.4,22.4,21.2,96.0,2016.0,443.6,1218.4,354.0
1965,Alaska,253000,149.0,6.3,17.8,39.9,85.0,2454.5,554.5,1492.9,407.1
1966,Alaska,272000,150.4,12.9,19.5,36.0,82.0,2635.3,593.0,1600.7,441.5
1967,Alaska,272000,160.7,9.6,17.6,35.3,98.2,2723.9,688.6,1630.9,404.4
1968,Alaska,277000,175.5,10.5,21.7,52.7,90.6,3145.5,747.3,1915.9,482.3
1969,Alaska,282000,221.3,10.6,29.4,67.4,113.8,3658.9,870.6,2196.8,591.5
1970,Alaska,302173,278.0,12.2,26.1,71.8,167.8,3523.8,789.9,2182.5,551.3
1971,Alaska,313000,355.3,13.4,43.5,67.1,231.3,3809.3,848.6,2438.0,522.7
1972,Alaska,325000,370.5,9.5,41.8,66.5,252.6,4108.0,970.8,2639.1,498.2
1973,Alaska,330000,384.5,10.0,44.5,67.0,263.0,4558.8,1167.3,2865.5,526.1
1974,Alaska,337000,453.1,13.6,49.3,88.4,301.8,4786.6,1166.8,2972.1,647.8
1975,Alaska,352000,539.8,12.2,44.6,129.5,353.4,5656.8,1214.5,3522.4,919.9
1976,Alaska,382000,540.1,11.3,46.9,124.9,357.1,5680.6,1218.1,3656.8,805.8
1977,Alaska,407000,443.2,10.8,51.6,96.8,284.0,5454.8,1331.7,3369.8,753.3
1978,Alaska,403000,441.9,12.9,55.6,91.3,282.1,5604.2,1339.2,3603.5,661.5
1979,Alaska,406000,491.1,13.3,71.9,109.6,296.3,5712.6,1383.3,3713.3,616.0
1980,Alaska,440142,436.0,8.9,56.8,81.8,288.5,5209.7,1259.8,3388.9,561.0
1981,Alaska,412000,615.8,14.6,102.2,114.6,384.5,5979.1,1329.9,3958.7,690.5
1982,Alaska,438000,623.7,18.5,85.4,133.8,386.1,5588.8,1188.1,3806.4,594.3
1983,Alaska,479000,613.8,13.8,101.5,97.1,401.5,5404.8,1194.2,3566.8,643.8
1984,Alaska,500000,621.6,11.6,91.6,109.4,409.0,5493.6,1236.8,3628.0,628.8
1985,Alaska,521000,581.8,9.8,77.2,92.9,401.9,5295.2,1191.7,3497.1,606.3
1986,Alaska,534000,570.4,8.6,72.7,88.0,401.1,5675.5,1161.8,3909.9,603.7
1987,Alaska,525000,455.4,10.1,65.0,73.1,307.2,4922.1,970.1,3465.7,486.3
1988,Alaska,513000,522.8,5.7,57.7,72.9,386.5,4398.8,842.3,3101.6,455.0
1989,Alaska,527000,497.7,8.0,52.9,67.6,369.3,4282.2,826.9,3000.2,455.0
1990,Alaska,550043,524.5,7.5,72.9,76.7,367.4,4628.2,894.3,3168.5,565.4
1991,Alaska,570000,613.9,7.4,91.8,113.2,401.6,5087.7,979.3,3574.6,533.9
1992,Alaska,587000,660.5,7.5,98.6,109.0,445.3,4909.0,880.7,3531.2,497.1
1993,Alaska,599000,760.8,9.0,83.8,122.4,545.6,4807.2,816.9,3539.4,450.9
1994,Alaska,606000,766.3,6.3,69.0,146.2,544.9,4941.7,800.0,3601.3,540.4
1995,Alaska,604000,770.9,9.1,80.3,155.1,526.3,4982.9,836.9,3624.3,521.7
1996,Alaska,607000,727.7,7.4,65.6,117.0,537.7,4722.7,843.2,3386.7,492.9
1997,Alaska,609000,701.1,8.9,66.2,106.4,519.7,4571.4,702.1,3412.2,457.1
1998,Alaska,614000,653.9,6.7,68.6,86.6,492.0,4123.1,667.4,3031.1,424.6
1999,Alaska,619500,630.8,8.4,83.5,91.4,447.6,3728.7,611.3,2688.3,429.1
2000,Alaska,626932,566.9,4.3,79.3,78.2,405.1,3682.5,621.9,2685.8,374.8
2001,Alaska,633630,589.5,6.2,79.1,81.1,423.1,3655.1,607.1,2634.8,413.2
2002,Alaska,641482,565.4,5.1,79.7,76.2,404.4,3759.7,609.2,2765.3,385.2
2003,Alaska,648280,598.0,6.0,93.3,68.8,429.9,3761.6,597.6,2784.4,379.6
2004,Alaska,657755,632.3,5.6,84.8,68.0,473.9,3370.9,573.6,2456.7,340.6
2005,Alaska,663253,632.0,4.8,81.1,81.0,465.4,3615.0,622.8,2601.0,391.0
2006,Alaska,670053,688.0,5.4,76.4,89.5,516.7,3578.1,620.1,2579.5,378.5
2007,Alaska,683478,661.3,6.3,79.7,85.0,490.3,3379.2,546.3,2476.9,356.0
2008,Alaska,686293,652.1,3.9,65.1,94.0,489.0,2927.3,471.7,2218.4,237.2
2009,Alaska,698473,633.4,3.1,73.4,93.6,463.2,2940.4,515.4,2183.5,241.5
2010,Alaska,714146,635.3,4.3,74.6,83.2,473.2,2836.8,434.8,2175.3,226.7
2011,Alaska,723860,610.1,4.1,60.2,79.6,466.1,2637.8,394.0,2052.1,191.7
2012,Alaska,730307,604.1,4.1,79.8,86.3,433.9,2743.6,403.9,2131.3,208.4
2013,Alaska,737259,638.7,4.6,89.1,84.5,424.1,2877.0,395.7,2251.4,229.9
2014,Alaska,736732,635.8,5.6,75.3,85.4,440.2,2760.0,427.6,2096.4,236.0
1960,Arizona,1302161,207.7,6.0,16.1,54.2,131.4,2806.0,685.5,1782.2,338.4
1961,Arizona,1391000,164.5,6.0,14.4,56.5,87.6,2969.4,737.7,1876.3,355.4
1962,Arizona,1509000,173.0,5.7,13.1,56.4,97.7,3028.1,774.9,1895.6,357.6
1963,Arizona,1559000,194.2,6.0,14.2,57.5,116.4,3200.4,830.3,2002.1,368.0
1964,Arizona,1581000,213.0,5.2,16.4,61.2,130.2,3432.3,868.2,2225.8,338.3
1965,Arizona,1608000,192.3,5.0,17.8,55.7,113.9,3355.5,816.5,2251.7,287.3
1966,Arizona,1618000,202.2,6.1,18.3,55.5,122.4,3933.6,931.1,2630.1,372.3
1967,Arizona,1634000,238.2,5.6,16.7,74.9,141.0,4599.8,1137.3,3055.3,407.2
1968,Arizona,1670000,263.6,6.3,18.7,86.7,151.9,4610.8,1167.4,3022.2,421.2
1969,Arizona,1693000,339.2,6.0,23.0,99.9,210.2,4885.4,1302.6,3144.2,438.6
1970,Arizona,1772482,370.3,9.5,27.0,120.2,213.7,5543.9,1493.0,3549.7,501.2
1971,Arizona,1849000,400.6,6.7,29.9,113.3,250.7,5540.9,1435.9,3654.2,450.8
1972,Arizona,1945000,448.9,7.3,33.4,120.8,287.4,5484.4,1615.9,3438.7,429.8
1973,Arizona,2058000,479.9,8.1,31.0,147.3,293.6,6224.0,1958.3,3720.1,545.6
1974,Arizona,2153000,566.7,9.6,37.5,204.2,315.5,7654.9,2534.0,4518.6,602.3
1975,Arizona,2224000,547.8,8.6,35.5,170.0,333.8,7793.7,2529.9,4747.7,516.1
1976,Arizona,2270000,455.3,7.8,29.7,129.9,287.9,7431.1,2366.6,4642.7,421.8
1977,Arizona,2296000,494.2,9.5,34.2,138.2,312.3,7253.0,2346.1,4467.4,439.5
1978,Arizona,2354000,552.1,9.4,44.2,162.9,335.6,7051.7,2082.5,4504.8,464.4
1979,Arizona,2450000,593.0,8.9,45.7,175.7,362.6,7264.4,1996.6,4774.5,493.3
1980,Arizona,2715357,650.9,10.3,45.2,193.6,401.8,7519.9,2155.4,4891.2,473.3
1981,Arizona,2793000,575.8,8.1,38.1,177.6,352.0,7038.1,2064.3,4563.9,410.0
1982,Arizona,2860000,517.0,8.3,38.5,158.6,311.6,6614.0,1883.3,4360.9,369.8
1983,Arizona,2963000,494.2,7.2,41.9,132.4,312.7,5897.4,1668.6,3871.8,357.0
1984,Arizona,3053000,516.1,7.8,43.1,131.1,334.1,5983.3,1714.0,3884.8,384.5
1985,Arizona,3187000,602.5,8.0,45.7,146.5,402.3,6513.7,1869.6,4258.6,385.5
1986,Arizona,3317000,658.3,9.3,43.0,169.2,436.8,6663.1,1907.7,4336.6,418.8
1987,Arizona,3386000,612.6,7.5,41.2,138.4,425.5,6576.0,1626.1,4527.3,422.6
1988,Arizona,3466000,610.1,8.5,38.8,137.0,425.8,6861.2,1580.3,4821.7,459.1
1989,Arizona,3556000,599.6,6.7,36.2,139.0,417.7,7460.2,1667.2,5106.1,686.9
1990,Arizona,3665228,652.4,7.7,40.9,160.9,442.8,7236.4,1669.9,4703.0,863.5
1991,Arizona,3750000,670.7,7.8,42.4,165.7,454.8,6734.9,1607.5,4266.3,861.1
1992,Arizona,3832000,670.8,8.1,43.0,153.1,466.6,6357.8,1411.7,4124.6,821.5
1993,Arizona,3936000,715.0,8.6,37.8,162.9,505.7,6716.7,1465.5,4387.4,863.8
1994,Arizona,4075000,703.1,10.5,36.0,162.0,494.7,7221.4,1476.2,4678.5,1066.7
1995,Arizona,4218000,713.5,10.4,33.6,173.8,495.7,7500.1,1416.8,4925.6,1157.7
1996,Arizona,4428000,631.5,8.5,31.2,167.8,424.0,6435.5,1256.3,4252.5,926.7
1997,Arizona,4555000,623.7,8.2,32.8,165.7,417.1,6571.3,1318.9,4282.0,970.4
1998,Arizona,4669000,577.9,8.1,31.1,165.2,373.6,5997.0,1209.5,3922.4,865.1
1999,Arizona,4778332,551.1,8.0,28.9,152.5,361.6,5345.0,1034.3,3510.2,800.4
2000,Arizona,5130632,531.7,7.0,30.7,146.3,347.7,5297.8,1011.6,3444.1,842.1
2001,Arizona,5306966,540.3,7.5,28.6,167.1,337.1,5537.5,1033.0,3520.8,983.7
2002,Arizona,5441125,554.5,7.1,29.6,147.0,370.8,5849.8,1085.9,3704.0,1059.9
2003,Arizona,5579222,513.3,7.9,33.3,136.6,335.6,5634.0,1050.6,3561.9,1021.6
2004,Arizona,5739879,504.4,7.2,33.0,134.5,329.6,5073.3,991.0,3118.7,963.5
2005,Arizona,5953007,512.0,7.5,33.7,144.1,326.7,4827.0,946.2,2958.0,922.0
2006,Arizona,6166318,542.6,8.6,39.7,153.9,340.3,4774.1,963.6,2891.9,918.7
2007,Arizona,6338755,518.0,8.6,37.1,154.0,318.2,4532.6,946.4,2793.5,792.6
2008,Arizona,6500180,485.6,7.1,33.8,150.9,293.8,4102.2,901.6,2607.0,593.6
2009,Arizona,6595778,426.5,5.8,34.6,124.3,261.8,3589.0,823.4,2364.8,400.8
2010,Arizona,6413158,413.6,6.4,34.2,108.4,264.7,3536.5,794.2,2403.4,338.9
2011,Arizona,6467315,414.2,6.1,38.6,110.5,259.0,3554.7,845.7,2402.9,306.2
2012,Arizona,6551149,428.6,5.5,34.8,112.7,275.6,3536.8,807.7,2439.4,289.8
2013,Arizona,6634997,415.6,5.4,35.3,100.3,262.1,3365.4,727.8,2381.9,255.7
2014,Arizona,6731484,399.9,4.7,36.6,92.8,252.1,3197.5,647.1,2289.1,261.3
1960,Arkansas,1786272,107.7,8.5,8.9,24.8,65.5,926.4,302.2,573.8,50.3
1961,Arkansas,1797000,100.7,9.1,7.2,24.8,59.5,936.9,308.1,568.2,60.6
1962,Arkansas,1823000,91.4,7.9,6.8,21.9,54.8,998.3,311.7,612.7,73.9
1963,Arkansas,1858000,107.2,7.4,6.1,25.1,68.6,1073.7,327.6,662.8,83.3
1964,Arkansas,1933000,136.6,7.6,8.1,29.2,91.7,1222.6,369.1,756.4,97.1
1965,Arkansas,1960000,135.8,5.9,10.4,23.7,95.9,1138.4,323.7,727.2,87.5
1966,Arkansas,1955000,162.9,7.1,9.8,29.4,116.6,1219.9,360.3,774.4,85.2
1967,Arkansas,1968000,219.5,8.8,14.2,35.2,161.3,1408.9,443.9,879.1,86.0
1968,Arkansas,2012000,216.7,8.1,17.3,39.6,151.7,1741.8,569.7,1068.9,103.2
1969,Arkansas,1995000,220.1,9.9,17.4,44.4,148.4,1968.5,651.1,1206.5,110.9
1970,Arkansas,1923295,222.3,10.1,17.1,45.6,149.5,2198.8,759.4,1320.0,119.4
1971,Arkansas,1944000,240.7,10.5,17.1,48.7,164.5,2087.5,720.9,1243.5,123.1
1972,Arkansas,1978000,244.7,10.4,17.3,54.8,162.2,2107.7,735.1,1258.4,114.2
1973,Arkansas,2037000,289.9,8.8,19.5,71.5,190.0,2466.6,888.0,1433.7,144.9
1974,Arkansas,2062000,316.2,11.2,23.9,80.7,200.5,2984.4,1075.2,1745.3,163.9
1975,Arkansas,2116000,348.3,10.1,25.9,87.6,224.7,3191.9,1077.1,1947.0,167.8
1976,Arkansas,2109000,303.9,10.1,24.2,76.7,192.9,3102.8,937.5,2013.9,151.4
1977,Arkansas,2144000,322.9,8.8,27.6,83.2,203.4,3018.1,972.6,1862.1,183.4
1978,Arkansas,2186000,344.1,9.1,23.1,80.0,231.9,3117.6,967.1,1950.9,199.6
1979,Arkansas,2180000,366.2,9.1,27.3,74.6,255.3,3254.5,984.3,2076.5,193.8
1980,Arkansas,2284037,335.2,9.2,26.7,80.9,218.4,3475.9,1119.0,2169.8,187.1
1981,Arkansas,2294000,310.3,9.1,25.2,77.4,198.6,3486.1,1078.1,2221.4,186.6
1982,Arkansas,2291000,324.7,8.2,27.1,78.8,210.6,3546.9,1071.5,2289.4,186.0
1983,Arkansas,2328000,297.7,7.6,25.2,69.3,195.5,3202.9,961.3,2067.9,173.7
1984,Arkansas,2349000,321.4,7.5,29.7,67.6,216.6,3046.1,885.9,1992.6,167.6
1985,Arkansas,2359000,347.6,7.9,29.1,68.5,242.0,3237.5,941.4,2117.7,178.4
1986,Arkansas,2372000,394.8,8.1,28.9,79.7,278.2,3529.9,1029.9,2305.1,194.9
1987,Arkansas,2388000,412.0,7.6,32.6,79.1,292.6,3833.2,1078.0,2548.7,206.5
1988,Arkansas,2422000,422.7,8.7,32.2,84.1,297.6,3796.9,1091.8,2492.3,212.9
1989,Arkansas,2406000,473.7,8.4,38.4,110.6,316.3,4082.0,1194.4,2621.9,265.6
1990,Arkansas,2350725,532.2,10.3,43.3,113.2,365.4,4334.7,1210.9,2834.4,289.4
1991,Arkansas,2372000,593.3,11.1,44.6,135.6,401.9,4581.7,1226.5,3013.8,341.4
1992,Arkansas,2399000,576.5,10.8,41.3,125.5,399.0,4185.2,1092.7,2763.2,329.3
1993,Arkansas,2424000,593.3,10.2,42.4,124.9,415.8,4217.5,1099.3,2795.7,322.5
1994,Arkansas,2453000,595.1,12.0,41.9,128.7,412.5,4203.6,1097.1,2791.6,315.0
1995,Arkansas,2484000,553.2,10.4,37.2,125.7,379.8,4137.7,996.9,2815.4,325.4
1996,Arkansas,2510000,524.3,8.7,41.7,114.1,359.8,4174.9,953.2,2908.8,312.9
1997,Arkansas,2523000,526.9,9.9,43.5,111.5,361.9,4191.8,1013.4,2863.8,314.6
1998,Arkansas,2538000,490.2,7.9,35.2,96.2,350.9,3793.2,928.3,2581.8,283.2
1999,Arkansas,2551373,425.2,5.6,27.8,79.3,312.4,3617.0,850.2,2505.6,261.2
2000,Arkansas,2673400,445.3,6.3,31.7,74.8,332.4,3670.0,802.1,2608.7,259.3
2001,Arkansas,2694698,452.4,5.5,33.1,80.9,332.8,3677.8,823.7,2582.5,271.6
2002,Arkansas,2706268,425.0,5.2,27.9,93.3,298.6,3738.4,858.3,2628.3,251.7
2003,Arkansas,2727774,456.4,6.6,33.4,81.6,334.7,3632.4,917.1,2495.1,220.2
2004,Arkansas,2750000,502.3,6.4,43.0,86.3,366.7,4033.1,1096.4,2699.7,237.0
2005,Arkansas,2775708,528.0,6.8,43.3,91.2,387.2,4068.0,1085.1,2720.0,262.0
2006,Arkansas,2810872,552.8,7.3,47.1,97.8,400.6,3985.4,1133.6,2584.5,267.4
2007,Arkansas,2834797,537.1,7.0,45.6,109.5,374.9,3955.5,1130.1,2578.5,246.9
2008,Arkansas,2855390,513.0,5.8,51.2,97.3,358.8,3865.0,1187.6,2448.2,229.1
2009,Arkansas,2889450,515.8,6.2,47.7,89.2,372.8,3775.0,1202.8,2361.3,211.0
2010,Arkansas,2921588,503.5,4.6,45.2,81.1,372.6,3553.5,1111.1,2252.1,190.3
2011,Arkansas,2938582,482.3,5.4,41.9,80.2,354.8,3757.9,1157.6,2404.1,196.3
2012,Arkansas,2949828,469.6,5.9,41.8,78.3,343.5,3708.3,1107.6,2406.3,194.4
2013,Arkansas,2958765,463.2,5.3,38.4,76.4,331.1,3598.7,1026.4,2380.4,191.9
2014,Arkansas,2966369,480.1,5.6,39.8,69.1,346.0,3338.0,835.7,2313.5,188.8
